Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"452"	"ZSCAN1"	"496.3"	"ARCHS4 Coexpression,150;Enrichr Queries,639;GTEx Coexpression,700"	"TFAP2A,GPM6A,TENM4,GSTA4,TUBB3,TAGLN3"
"gene_set_query"	"453"	"SRF"	"498.2"	"Literature ChIP-seq,145;ARCHS4 Coexpression,1131;ENCODE ChIP-seq,33;Enrichr Queries,819;ReMap ChIP-seq,283;GTEx Coexpression,578"	"CAPN13,DES,FHL2,TNS4,TRIM55"
"gene_set_query"	"454"	"ZNF263"	"498.2"	"Literature ChIP-seq,160;ARCHS4 Coexpression,961;ENCODE ChIP-seq,56;Enrichr Queries,1111;ReMap ChIP-seq,57;GTEx Coexpression,644"	"NGFR,IL11,CDCA7,FBLN2,ACOXL,DOK5,TUBB3,PRR15L,ITGB7,KCNN2,CCDC33,MAPT,HES2,GRIA3,GPIHBP1"
"gene_set_query"	"455"	"NKX23"	"500.5"	"ARCHS4 Coexpression,552;GTEx Coexpression,449"	"DES,COL24A1,CPXM1"
"gene_set_query"	"456"	"TBX22"	"501.3"	"ARCHS4 Coexpression,764;Enrichr Queries,112;GTEx Coexpression,628"	"KEL,EGFL6,LUM,USP44,SYT16,HAS2,RORB,PKHD1L1"
"gene_set_query"	"457"	"VAX1"	"502.0"	"ARCHS4 Coexpression,438;Enrichr Queries,507;GTEx Coexpression,561"	"TFAP2A,GPM6A,PCDH9,GSTA4,BMP7"
"gene_set_query"	"458"	"ZFP28"	"502.0"	"ARCHS4 Coexpression,32;Enrichr Queries,611;GTEx Coexpression,863"	"GPM6A,PCDH9,GSTA4,TUBB3,ZBTB16,TAGLN3,MAPT,NALCN,GRIA3"
"gene_set_query"	"459"	"GLIS2"	"503.3"	"ARCHS4 Coexpression,340;Enrichr Queries,776;GTEx Coexpression,394"	"MFAP4,ITGA11,FBLN2"
"gene_set_query"	"460"	"FOXM1"	"504.5"	"Literature ChIP-seq,7;ARCHS4 Coexpression,998;ENCODE ChIP-seq,66;Enrichr Queries,926;ReMap ChIP-seq,158;GTEx Coexpression,872"	"LRRK2,CDCA7,MB,LAMP3,CA4,HAS2,CCR7,HES2,AMZ1,GRIA3,PLXNA4,CAP2,TFAP2A,PCDH9,EYA2,LUM,USP44,PRG4,TRAF1,FMO5,PDGFRL,CAPN13,PRR15L,DOK5,SLCO4C1,PKP1"
"gene_set_query"	"461"	"RBSN"	"504.5"	"ARCHS4 Coexpression,867;GTEx Coexpression,142"	"GPM6A,PCDH9,MAPT,NALCN"
"gene_set_query"	"462"	"NKX31"	"505.5"	"ARCHS4 Coexpression,425;GTEx Coexpression,586"	"ACOXL,ZNF385B,KCNN2"
"gene_set_query"	"463"	"SALL2"	"506.0"	"ARCHS4 Coexpression,749;Enrichr Queries,315;GTEx Coexpression,454"	"GPM6A,USP44,CDCA7,FHL2,FBLN1,MAPT,BMP7"
"gene_set_query"	"464"	"POU1F1"	"506.3"	"ARCHS4 Coexpression,544;Enrichr Queries,312;GTEx Coexpression,663"	"CDH6,TFAP2A,TENM4,ZBTB16,PKP1,RORB"
"gene_set_query"	"465"	"CTCFL"	"506.4"	"ARCHS4 Coexpression,620;ENCODE ChIP-seq,98;Enrichr Queries,296;ReMap ChIP-seq,150;GTEx Coexpression,1368"	"TFAP2A,NGFR,KEL,GSTA4,TUBB3,ZBTB16,FHL2,ITGB7,HES2,BMP7,PDGFRL"
