"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","10/66","233/9376",0.0429184549356223,6.09702171933932,6.63334904430018,4.61250380068035e-06,0.000687263066301372,0.000631184730619416,"255631/2192/2274/131873/2199/1674/8515/3695/84675/22801",10
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","10/66","298/9376",0.0335570469798658,4.76713443156396,5.56425374472279,3.94103933584496e-05,0.0029360743052045,0.00269650059820971,"6366/4804/3598/6374/7850/6354/1236/3589/4283/655",10
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","5/66","86/9376",0.0581395348837209,8.25933756166314,5.69404802560541,0.000332545551941859,0.016516429079779,0.015168744474541,"9254/1674/8515/3695/22801",5
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","5/66","99/9376",0.0505050505050505,7.17477808386899,5.20017475405068,0.000636621144919053,0.0198622422257399,0.0182415506135372,"9254/1674/8515/3695/22801",5
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","5/66","100/9376",0.05,7.1030303030303,5.1659229199683,0.000666518195494628,0.0198622422257399,0.0182415506135372,"6366/6374/6354/1236/4283",5
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","5/66","105/9376",0.0476190476190476,6.76479076479076,5.00147006180884,0.0008320799840696,0.0206633196043951,0.0189772627945698,"9254/1674/8515/3695/22801",5
